,NMI,ARI,Time
PCA 2D,0.4311820287055326,0.1605032279487667,0.20562100410461426
PCA 3D,0.48016585733501194,0.20995817159484984,0.1259758472442627
Random Subspace,0.6810846528661151,0.47948301664085735,0.18076705932617188
Original (Full),0.7308,0.5225,1.5
