k,Inertia,Silhouette,Davies-Bouldin,Calinski-Harabasz,Adjusted Rand,NMI,Homogeneity,Completeness,V-measure,Time (s)
2,3275647.76078136,0.14231790233572683,2.353329362768836,1091.2236237863353,0.06042609984621811,0.2693173945707703,0.16318433600374413,0.7703312209974201,0.2693173945707703,0.3748359680175781
5,2831580.834147183,0.09818319675752954,2.629680495887377,559.81218179405,0.1830067659073044,0.4995404499654627,0.36702453519302464,0.7818203063489314,0.49954044996546265,0.568695068359375
10,2507702.639025496,0.09071930869433904,2.4387016919493663,370.0882199314551,0.2902074902520398,0.6122084386317653,0.5068247145161578,0.7729214867279331,0.6122084386317654,0.5559871196746826
15,2324312.4358800426,0.08333965422771666,2.5096577100090434,291.5508082263233,0.4070351773882806,0.6674984139975594,0.6021557249265947,0.7487485670451367,0.6674984139975594,0.5884039402008057
20,2209319.212515491,0.08450744605798789,2.5469751923047124,242.86065629886005,0.41021173117602994,0.701510101093759,0.6556021084911907,0.7543315400618896,0.7015101010937591,0.7303471565246582
26,2116015.594790929,0.07393514204077328,2.7447464613123396,203.48323525890308,0.5224801489319669,0.7307629078181735,0.7215863494531513,0.7401758728819248,0.7307629078181737,0.9705369472503662
30,2065394.408790663,0.07326758156162043,2.7386441905767724,184.84684356427738,0.46036237379547634,0.7086964814862594,0.7125499246271855,0.704884492712268,0.7086964814862594,0.9999070167541504
35,2019693.1906932916,0.07160085045092131,2.8209702704500264,165.2294477260902,0.46303671921916956,0.7164271270100405,0.7402383889983797,0.6940999994539206,0.7164271270100404,1.00126314163208
40,1987766.0345758658,0.06438166025039445,2.8794487768875467,148.79445033288619,0.44048575632425147,0.6961797561364542,0.7365063718030777,0.6600399758832457,0.6961797561364542,1.031661033630371
