k,Inertia,Silhouette,Davies-Bouldin,Calinski-Harabasz,Adjusted Rand,NMI,Homogeneity,Completeness,V-measure,Time (s)
2,70064.87693550727,0.14311789563915,2.1986067651280106,201.47816253951387,0.02069536386767133,0.03516886423888919,0.023366207031863782,0.07106493899617723,0.035168864238889194,0.12591314315795898
3,62949.97286798149,0.12883048395233151,2.176356637561979,172.8848975585101,0.07385892070666275,0.1103305949473042,0.08395791960463751,0.1608593892278571,0.11033059494730418,0.027320146560668945
4,58562.507027120584,0.12134668355125552,2.003303119425442,150.6475945241512,0.11407455152918373,0.18510591624507183,0.1524970649492934,0.2354535785619788,0.18510591624507183,0.038018226623535156
5,54976.603854778186,0.11536633873609262,2.0499039645085775,137.77292853585493,0.11528677693784317,0.20453771991884917,0.18092873984368996,0.2352327003922973,0.20453771991884917,0.03806304931640625
6,51937.04784311021,0.12092416525339078,1.8499866219759982,129.13113859608052,0.11925961108475705,0.2213057289715142,0.19852993062083085,0.24998451217735476,0.2213057289715142,0.03465104103088379
7,49856.93854691956,0.12400886258050507,1.8661375164321916,119.45574003214026,0.1279948888973521,0.22781448769778434,0.21278478676494808,0.24512875096367,0.22781448769778434,0.03536391258239746
8,47497.97250487979,0.13388004283185245,1.8098630366603903,114.98142960836384,0.13561261298802185,0.2554065224105824,0.2475204931338029,0.2638115876953991,0.2554065224105824,0.041010141372680664
9,45827.56252112576,0.13214976261905204,1.7944379349549588,109.058387409986,0.12346039355350805,0.25703655863254987,0.257801453981615,0.2562761887362092,0.25703655863254987,0.03295183181762695
10,44418.38053489801,0.12776871257962924,1.8172121848118565,103.69464254428163,0.13172047915487745,0.27310367439522426,0.2810538428572941,0.26559090594214907,0.2731036743952242,0.06803607940673828
12,42131.16382383189,0.13583653290027567,1.7883383368692733,94.55060439210611,0.14084824982598362,0.30122044444168994,0.32240114488613636,0.28265118623387125,0.30122044444169005,0.03864693641662598
15,39210.16577272786,0.13517893801148423,1.7866464412029328,85.26683346672989,0.14984498442143593,0.34505662040656443,0.38879088735121703,0.31016663031466457,0.3450566204065645,0.03340601921081543
